epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5755,1.10224,3.35998,1.31327,0.01121,0.61775,0.21538,0.1804,0.74211,3.24987,0.83801,0.00013332,0.00013332,0.00013332
2,45.8883,0.7221,3.1226,1.13297,0.01174,0.61775,0.32928,0.28264,0.58314,3.2471,0.82863,0.000268584,0.000268584,0.000268584
3,69.0212,0.67985,2.81647,1.09541,0.0115,0.65502,0.30805,0.26893,0.61995,3.14574,0.78676,0.000394316,0.000394316,0.000394316
4,92.5513,0.7238,2.46916,1.12895,0.0127,0.72455,0.34044,0.28129,0.71496,2.98019,0.89804,0.000510516,0.000510516,0.000510516
5,115.883,0.75711,2.20108,1.12861,0.77409,0.29892,0.44584,0.34721,0.67461,2.79577,0.86773,0.000617183,0.000617183,0.000617183
6,139.336,0.77173,1.86795,1.13184,0.7413,0.4007,0.5236,0.40583,0.83528,2.22763,1.01768,0.000714317,0.000714317,0.000714317
7,162.629,0.7859,1.64805,1.13923,0.82757,0.51104,0.56662,0.45466,0.90038,1.78016,1.14083,0.00080192,0.00080192,0.00080192
8,186.254,0.79602,1.53509,1.14489,0.78152,0.59054,0.59691,0.39373,1.02956,1.79229,1.24546,0.000854359,0.000854359,0.000854359
9,221.663,0.73141,1.39615,1.12581,0.7991,0.53284,0.6116,0.39798,1.04324,1.79345,1.26367,0.000817696,0.000817696,0.000817696
10,250.853,0.72932,1.3345,1.14017,0.69913,0.57261,0.59096,0.47657,0.80611,1.64414,1.0856,0.000781033,0.000781033,0.000781033
11,280.473,0.68006,1.2047,1.09921,0.79728,0.64776,0.64639,0.53251,0.73099,1.15056,0.97162,0.00074437,0.00074437,0.00074437
12,316.668,0.67251,1.14498,1.09675,0.86575,0.58609,0.66395,0.53472,0.68414,1.10602,0.93987,0.000707707,0.000707707,0.000707707
13,351.798,0.65995,1.07632,1.08613,0.78694,0.61296,0.6653,0.53921,0.70343,1.28223,0.95918,0.000671044,0.000671044,0.000671044
14,376.538,0.61614,1.01045,1.07148,0.91536,0.5182,0.64034,0.53523,0.68328,1.37236,0.95336,0.000634381,0.000634381,0.000634381
15,398.2,0.61433,1.00607,1.06194,0.83768,0.54918,0.62747,0.51097,0.72906,1.38729,1.01555,0.000597718,0.000597718,0.000597718
16,420.357,0.59586,0.93119,1.05015,0.91214,0.60752,0.67091,0.57237,0.6497,1.03623,0.93671,0.000561055,0.000561055,0.000561055
17,443.322,0.59349,0.94462,1.05752,0.8565,0.60886,0.66682,0.5679,0.59535,0.90007,0.88384,0.000524392,0.000524392,0.000524392
18,466.115,0.56428,0.87459,1.03266,0.85822,0.59961,0.64699,0.54408,0.62088,0.94048,0.91975,0.000487729,0.000487729,0.000487729
19,489.27,0.5584,0.8495,1.02517,0.78274,0.64584,0.63649,0.54869,0.57806,0.93212,0.88893,0.000451066,0.000451066,0.000451066
20,512.684,0.52416,0.84057,1.02342,0.86701,0.62843,0.65516,0.56074,0.63852,0.91819,0.94851,0.000414403,0.000414403,0.000414403
21,535.323,0.62287,1.06485,1.13588,0.92374,0.63883,0.6972,0.60365,0.58218,0.88072,0.90132,0.00037774,0.00037774,0.00037774
22,557.722,0.52387,0.87702,1.0508,0.93503,0.65128,0.68923,0.59889,0.5829,0.94989,0.89548,0.000341077,0.000341077,0.000341077
23,580.158,0.50313,0.78286,1.04154,0.92668,0.64183,0.68184,0.59535,0.60157,0.89963,0.92698,0.000304414,0.000304414,0.000304414
24,608.232,0.47645,0.6984,1.05239,0.96774,0.63632,0.68527,0.61124,0.57694,0.83688,0.89565,0.000267751,0.000267751,0.000267751
25,635.252,0.46536,0.6651,1.0328,0.94403,0.64468,0.69898,0.61737,0.50729,0.80483,0.86133,0.000231088,0.000231088,0.000231088
26,659.138,0.46597,0.65796,1.02528,0.94159,0.63873,0.70023,0.61249,0.52615,0.79757,0.86237,0.000194425,0.000194425,0.000194425
27,683.209,0.46014,0.6271,1.01663,0.95164,0.6351,0.70421,0.61486,0.53223,0.7778,0.87137,0.000157762,0.000157762,0.000157762
28,710.245,0.45247,0.63248,1.02829,0.93187,0.64636,0.69408,0.62442,0.5124,0.74275,0.85682,0.000121099,0.000121099,0.000121099
29,735.74,0.4366,0.60116,0.99865,0.94975,0.65005,0.698,0.61877,0.5142,0.74234,0.86546,8.4436e-05,8.4436e-05,8.4436e-05
30,761.184,0.43779,0.59733,0.99246,0.95442,0.64581,0.69881,0.62406,0.49451,0.73974,0.84975,4.7773e-05,4.7773e-05,4.7773e-05
